asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
8hpi-9m3m,,,"Public Instruction, Office of Superintendent of (OSPI)",
crrp-awfs,3d5d-sdqb,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
2nz6-y756,,,"Public Instruction, Office of Superintendent of (OSPI)",
9ewh-76mt,k5fe-2e4s,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
fth5-2ey4,,,"Public Instruction, Office of Superintendent of (OSPI)",
ksw2-4gt2,,,"Ecology, Department of (ECY)",
7jcx-yszx,,,"Public Instruction, Office of Superintendent of (OSPI)",
sibs-5k6j,,,"Ecology, Department of (ECY)",
usje-6wbk,,,"Public Instruction, Office of Superintendent of (OSPI)",
a4ma-dq6s,,,Public Disclosure Commission (PDC),
ufi5-ki2f,,,"Public Instruction, Office of Superintendent of (OSPI)",
nfpj-mzp6,,,"Public Instruction, Office of Superintendent of (OSPI)",
wv59-qt8g,cqra-s74n,dataset,Other external user,"Fish and Wildlife, Department of (DFW)"
mpxt-wffm,,,Recreation and Conservation Office (RCO),
9vf7-7een,,,"Health, Department of (DOH)",
yiu7-u23p,vgcw-qfjm,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Liquor and Cannabis Board (LCB)
34y8-8dsi,,,"Public Instruction, Office of Superintendent of (OSPI)",
ixni-jq78,,,"Licensing, Department of (DOL)",
r58e-z6et,xupn-4ych,dataset,"Health, Department of (DOH)","Financial Management, Office of (OFM)"
j8hx-ebr2,,,"Financial Management, Office of (OFM)",
a6d4-k94m,9ncw-tqjn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
29kb-bn26,,,"Public Instruction, Office of Superintendent of (OSPI)",
y85c-tmgt,,,"Public Instruction, Office of Superintendent of (OSPI)",
khgf-tcd2,ie96-cgrn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
qau6-fd9y,,,"Public Instruction, Office of Superintendent of (OSPI)",
nv8a-ueib,h7j9-vgr3,dataset,Asotin County Library,"Ecology, Department of (ECY)"
3cbn-54c3,,,Public Disclosure Commission (PDC),
e24k-h92w,ncqh-ypvf,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
h95x-vpyj,,,"Labor & Industries, Department of (LNI)",
fv66-gety,vcpx-q9s7,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
hw7n-fcif,,,Washington State Technology Solutions (CTS),
skwx-kz8s,,,"Public Instruction, Office of Superintendent of (OSPI)",
jjrr-uy75,,,"Public Instruction, Office of Superintendent of (OSPI)",
dn4d-x42e,,,"Ecology, Department of (ECY)",
5buj-apj8,qgtz-buis,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Commerce, Department of (COM)"
4wur-kfnr,,,"Public Instruction, Office of Superintendent of (OSPI)",
w9k2-96gh,,,"Ecology, Department of (ECY)",
9bjx-dbbs,kv7h-kjye,dataset,"Salmon Recovery Office, Governor's (GSRO)",Public Disclosure Commission (PDC)
9ubj-qhc6,m8qx-ubtq,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
i9gq-g35m,,,"Public Instruction, Office of Superintendent of (OSPI)",
w7p9-rkyi,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
vefa-kmn2,,,"Public Instruction, Office of Superintendent of (OSPI)",
8w2k-q4ck,,,Timberland Regional Library,
9f5q-vk4q,,,Washington State Technology Solutions (CTS),
7c7d-g7ss,m8qx-ubtq,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
jnpn-n7h3,brw6-jymh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
7m7a-urs7,,,"Public Instruction, Office of Superintendent of (OSPI)",
2qvq-spdg,t9je-9qwa,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
mryz-i32a,gdw2-uv4h,dataset,Recreation and Conservation Office (RCO),Washington State Technology Solutions (CTS)
7sdm-u7qf,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
dbhx-5q9k,auvb-4rvk,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
5u4d-iirb,,,"Public Instruction, Office of Superintendent of (OSPI)",
2dwu-pywu,,,"Ecology, Department of (ECY)",
6hhp-ynqb,,,"Public Instruction, Office of Superintendent of (OSPI)",
q5qv-gkcz,3d5d-sdqb,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
sj3h-wfmm,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
iama-739a,h4ip-8hec,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
btpf-dv7h,qxh8-f4bd,dataset,"Licensing, Department of (DOL)","Health, Department of (DOH)"
ev9m-cv84,56tp-5t8v,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
ge4m-a8fv,qgtz-buis,dataset,Washington State Technology Solutions (CTS),"Commerce, Department of (COM)"
tk4f-cxhb,,,"Children, Youth, and Families, Department of (DCYF)",
dq2q-43tp,,,"Enterprise Services, Department of (DES)",
9mju-mxty,,,"Fish and Wildlife, Department of (DFW)",
bagp-e2xt,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
wajg-ig9g,,,Washington State Technology Solutions (CTS),
htv5-4vhw,5piy-sp8f,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted
384s-ygbu,,,"Public Instruction, Office of Superintendent of (OSPI)",
rzgf-vi75,,,"Public Instruction, Office of Superintendent of (OSPI)",
2ci3-df4x,idhm-59de,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
6nf5-ryhg,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
fpm2-ybbt,qxh8-f4bd,dataset,"Enterprise Services, Department of (DES)","Health, Department of (DOH)"
tyfh-n7g3,hdw4-yhs4,dataset,"Financial Management, Office of (OFM)","Ecology, Department of (ECY)"
r5ki-dmfz,,,"Criminal Justice Training Commission, Washington State (CJTC)",
6i3q-gfgy,,,"Ecology, Department of (ECY)",
v78e-wdan,9ncw-tqjn,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Labor & Industries, Department of (LNI)"
dyxg-h3je,,,"Ecology, Department of (ECY)",
kck7-yb2v,,,"Health, Department of (DOH)",
efcw-k4fa,,,Public Disclosure Commission (PDC),
nxmy-bggx,,,"Public Instruction, Office of Superintendent of (OSPI)",
9h8u-ctsr,jhtx-qxim,parent asset is private or deleted,Kennewick School District,parent asset is private or deleted
udag-wz3k,,,"Financial Management, Office of (OFM)",
cqb6-7fsp,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
x2x6-7bd8,,,Public Disclosure Commission (PDC),
ckjd-qav7,,,"Public Instruction, Office of Superintendent of (OSPI)",
vqzx-2f78,5piy-sp8f,parent asset is private or deleted,"Licensing, Department of (DOL)",parent asset is private or deleted
iy4g-ve9t,auvb-4rvk,dataset,"Licensing, Department of (DOL)","Fish and Wildlife, Department of (DFW)"
y59b-6pu8,,,"Public Instruction, Office of Superintendent of (OSPI)",
nvf9-ggc5,,,"Public Instruction, Office of Superintendent of (OSPI)",
8gye-fsha,hdw4-yhs4,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
syjk-ymxm,qxh8-f4bd,dataset,Washington State Technology Solutions (CTS),"Health, Department of (DOH)"
prdz-hjxr,,,"Public Instruction, Office of Superintendent of (OSPI)",
eyjn-wt6n,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
n38a-fveh,spnc-z2pw,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
syiw-nuu5,h7j9-vgr3,dataset,Washington State Technology Solutions (CTS),"Ecology, Department of (ECY)"
wzin-vviu,brw6-jymh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
ajpq-2bg9,,,"Public Instruction, Office of Superintendent of (OSPI)",
ethk-yi44,,,"Public Instruction, Office of Superintendent of (OSPI)",
5tg8-d76m,ed66-842c,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
2hia-rqet,,,"Financial Management, Office of (OFM)",
js5f-3yhb,,,Washington State Technology Solutions (CTS),
2rac-ken8,,,"Public Instruction, Office of Superintendent of (OSPI)",
sm49-bmar,6nhy-s9k7,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
kwfp-ref5,qxh8-f4bd,dataset,Asotin County Library,"Health, Department of (DOH)"
havq-59yp,6i3q-gfgy,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
xkg9-xapr,xupn-4ych,dataset,"Financial Management, Office of (OFM)","Financial Management, Office of (OFM)"
7vmi-4m9e,j78t-andi,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
hx5r-xfmn,auvb-4rvk,dataset,"Salmon Recovery Office, Governor's (GSRO)","Fish and Wildlife, Department of (DFW)"
mz6u-izgp,hdw4-yhs4,dataset,Asotin County Library,"Ecology, Department of (ECY)"
qb7g-hu6x,,,"Financial Management, Office of (OFM)",
6kyv-jfts,qgmw-2awv,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
4mhf-2apj,brpd-b6zd,dataset,Other external user,Liquor and Cannabis Board (LCB)
h6d9-mv58,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
an8w-eri3,jxh8-8i6p,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
23xs-9xx7,spy8-d7us,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
cgyr-atrn,hdw4-yhs4,dataset,"Health, Department of (DOH)","Ecology, Department of (ECY)"
visb-dxrt,,,"Administrative Hearings, Office of (OAH)",
wdb7-jbuv,,,"Ecology, Department of (ECY)",
xk9k-f7k7,,,"Financial Management, Office of (OFM)",
99na-8u5p,qxh8-f4bd,dataset,Timberland Regional Library,"Health, Department of (DOH)"
mgne-w2kv,,,"Health, Department of (DOH)",
si84-up2c,hjdc-v2n4,dataset,"Salmon Recovery Office, Governor's (GSRO)","Fish and Wildlife, Department of (DFW)"
a7f7-bq4u,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
7hx3-t3pn,,,"Financial Management, Office of (OFM)",
q5ug-jwtw,9dee-kzm5,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Liquor and Cannabis Board (LCB)
bfp6-w5ja,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
asjc-htyz,,,Washington Student Achievement Council (WSAC),
99f3-ybku,,,Timberland Regional Library,
3dit-vgvf,qxh8-f4bd,dataset,"Licensing, Department of (DOL)","Health, Department of (DOH)"
s4q5-shz5,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
533j-4nbp,,,"Ecology, Department of (ECY)",
mdib-p7c7,qxh8-f4bd,dataset,"Labor & Industries, Department of (LNI)","Health, Department of (DOH)"
84sk-uvcj,hdw4-yhs4,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
3gag-qj4x,,,Asotin County Library,
3nrj-de9w,,,"Health, Department of (DOH)",
hhjh-rgd2,w9k2-96gh,dataset,Asotin County Library,"Ecology, Department of (ECY)"
f8in-e8mn,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
9qmj-3nym,tf7e-z5t7,dataset,"Fish and Wildlife, Department of (DFW)","Health, Department of (DOH)"
gxyp-49kf,hdw4-yhs4,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
vq4v-ge6r,5piy-sp8f,parent asset is private or deleted,"Natural Resources, Department of (DNR)",parent asset is private or deleted
pe6s-sg9w,,,"Ecology, Department of (ECY)",
9q4e-xhag,,,"Fish and Wildlife, Department of (DFW)",
8zka-ik69,fri6-n6k5,dataset,"Health, Department of (DOH)","Ecology, Department of (ECY)"
gwn8-u882,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ehhg-5cge,28ar-n972,dataset,Public Disclosure Commission (PDC),"Health, Department of (DOH)"
wnuz-es3h,r6r4-h2x4,dataset,"Salmon Recovery Office, Governor's (GSRO)","Enterprise Services, Department of (DES)"
5de4-8ezn,,,Asotin County Library,
wnng-dhxk,,,"Salmon Recovery Office, Governor's (GSRO)",
k43v-q6mx,,,"Labor & Industries, Department of (LNI)",
45wf-b5c5,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
aqa5-4cee,,,Washington Student Achievement Council (WSAC),
4m5j-xuvx,,,Other external user,
xay9-khix,jeuk-pueh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Enterprise Services, Department of (DES)"
958t-wifj,f6w7-q2d2,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
pchc-4957,,,Washington State Technology Solutions (CTS),
64wy-7nf7,h7j9-vgr3,dataset,"Financial Management, Office of (OFM)","Ecology, Department of (ECY)"
fdfj-3az2,,,Asotin County Library,
5cwj-w2ft,knvg-qm85,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
ugys-a4e2,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
k4bq-gfcs,iyhw-cfx7,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
b5fq-trvj,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
rwqe-ktra,,,"Public Instruction, Office of Superintendent of (OSPI)",
e3nv-j5r9,jth9-gdxk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
2evw-m7au,,,Timberland Regional Library,
vpaj-t6cn,hdw4-yhs4,dataset,"Natural Resources, Department of (DNR)","Ecology, Department of (ECY)"
y8qh-965v,,,"Financial Management, Office of (OFM)",
y5bz-gn2d,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
jpfc-mfcm,,,Asotin County Library,
dxeq-g7ug,7iwq-4tne,dataset,Washington State Technology Solutions (CTS),"Salmon Recovery Office, Governor's (GSRO)"
bhxj-teac,thnz-yg58,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
bhxj-teac,8ydb-ddzd,filter,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
5bn5-93y7,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
2smq-atst,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
7qaw-cgfu,,,"Public Instruction, Office of Superintendent of (OSPI)",
n93e-32bj,h7j9-vgr3,dataset,"Enterprise Services, Department of (DES)","Ecology, Department of (ECY)"
k7td-c7w4,7iwq-4tne,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
6tav-7uxn,,,"Public Instruction, Office of Superintendent of (OSPI)",
y8vk-3hy9,,,"Salmon Recovery Office, Governor's (GSRO)",
xadz-skmk,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
ebuj-znrn,j78t-andi,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Public Disclosure Commission (PDC)
5br6-ksf8,t6qr-f2pq,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
3pgg-snut,hdw4-yhs4,dataset,Other external user,"Ecology, Department of (ECY)"
wpvr-8crs,y8vk-3hy9,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
chyd-2e93,9nnw-c693,dataset,"Health, Department of (DOH)",Public Disclosure Commission (PDC)
dtz7-yh8r,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
d5xq-sbq7,h7j9-vgr3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
pd47-hngh,eiss-ghr9,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
5my5-gbc9,,,"Children, Youth, and Families, Department of (DCYF)",
reg9-mjd3,,,"Enterprise Services, Department of (DES)",
rkfi-xpuf,dwbh-u4rr,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
rkfi-xpuf,q2jk-dthc,filter,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
fi9n-3fgf,qxh8-f4bd,dataset,"Fish and Wildlife, Department of (DFW)","Health, Department of (DOH)"
84ua-fhbx,idhm-59de,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
umug-kh7n,,,"Employment Security, Department of (ESD)",
86js-bk33,idhm-59de,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
fut4-qez5,,,"Public Instruction, Office of Superintendent of (OSPI)",
k3q3-prmt,h7j9-vgr3,dataset,"Financial Management, Office of (OFM)","Ecology, Department of (ECY)"
eavu-b2qa,,,"Public Instruction, Office of Superintendent of (OSPI)",
9h3w-95aq,t6qr-f2pq,dataset,Kennewick School District,"Health, Department of (DOH)"
byam-m4a8,,,Asotin County Library,
eq79-bz4a,gdw2-uv4h,dataset,Asotin County Library,Washington State Technology Solutions (CTS)
4v67-2a7a,hdw4-yhs4,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
3p3u-qc84,,,Other external user,
7mj8-fhan,,,"Public Instruction, Office of Superintendent of (OSPI)",
qb6f-d9a6,,,"Salmon Recovery Office, Governor's (GSRO)",
aner-f83y,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
